id,car_model,fuel_type,transmission,price,odo,year,khv,vdk,blg
0,Toyota Land Cruiser Prado,дизель,АКПП,4499000,80743.0,2017,1,0,0
1,Toyota Hilux,дизель,АКПП,3599000,104511.0,2016,1,0,0
2,Toyota Camry,гибрид,вариатор,1979000,121705.0,2016,1,0,0
3,Toyota Corolla Cross,гибрид,автомат,3249000,,2024,1,0,0
4,Toyota Corolla Cross,бензин,вариатор,3049000,,2024,1,0,0
5,Toyota Caldina,бензин,АКПП,689000,344058.0,2002,1,0,0
6,Toyota C-HR,гибрид,вариатор,2550000,60000.0,2020,1,0,0
7,Toyota Allion,бензин,АКПП,575000,210000.0,2003,1,0,0
8,Toyota Corolla Spacio,бензин,АКПП,245000,300.0,1997,1,0,0
9,Toyota C-HR,бензин,вариатор,1399000,43322.0,2016,1,0,0
10,Toyota Ractis,бензин,вариатор,949000,56839.0,2011,1,0,0
11,Toyota Corolla Fielder,бензин,вариатор,999000,182121.0,2015,1,0,0
12,Toyota Corolla Fielder,бензин,вариатор,1349000,23669.0,2015,1,0,0
13,Toyota Land Cruiser,дизель,АКПП,6700000,160000.0,2016,1,0,0
14,Toyota C-HR,бензин,вариатор,1780000,55400.0,2018,1,0,0
15,Toyota Passo,бензин,вариатор,650000,70000.0,2017,1,0,0
16,Toyota Camry,бензин,АКПП,2800000,151000.0,2019,1,0,0
17,Toyota Allion,бензин,вариатор,1400000,98000.0,2013,1,0,0
18,Toyota Mark II Wagon Qualis,бензин,АКПП,890000,240115.0,1999,1,0,0
19,Toyota Land Cruiser Prado,бензин,АКПП,7800000,31350.0,2021,1,0,0
20,Toyota Prius,гибрид,вариатор,1290000,205000.0,2012,1,0,0
21,Toyota Caldina,бензин,АКПП,95000,150000.0,1994,1,0,0
22,Toyota Prius Alpha,гибрид,вариатор,998000,208652.0,2013,1,0,0
23,Toyota Caldina,бензин,АКПП,400000,326000.0,2001,1,0,0
24,Toyota Ractis,бензин,вариатор,800000,73247.0,2013,1,0,0
25,Toyota Crown,бензин,АКПП,730000,200000.0,2001,1,0,0
26,Toyota Carina,бензин,АКПП,200000,280000.0,1995,1,0,0
27,Toyota Corolla Fielder,бензин,вариатор,1399000,28200.0,2018,1,0,0
28,Toyota Wish,бензин,вариатор,1299000,96885.0,2012,1,0,0
29,Toyota Corolla Axio,бензин,механика,979000,13623.0,2018,1,0,0
30,Toyota Raize,бензин,вариатор,1459000,22320.0,2022,1,0,0
31,Toyota Wish,бензин,вариатор,1099000,39753.0,2011,1,0,0
32,Toyota Sienta,бензин,вариатор,1199000,71940.0,2021,1,0,0
33,Toyota Land Cruiser,дизель,АКПП,7279000,144114.0,2018,1,0,0
34,Toyota Sprinter,бензин,механика,90000,455555.0,1995,1,0,0
35,Toyota Corolla Fielder,бензин,вариатор,1299000,81113.0,2018,1,0,0
36,Toyota Corolla Rumion,бензин,вариатор,949000,70377.0,2008,1,0,0
37,Toyota Hiace,дизель,АКПП,200000,555532.0,1993,1,0,0
38,Toyota Hilux,дизель,АКПП,5500000,36196.0,2021,1,0,0
39,Toyota Land Cruiser,дизель,АКПП,4100000,245357.0,2013,1,0,0
40,Toyota Harrier,бензин,вариатор,4700000,11500.0,2021,1,0,0
41,Toyota RAV4,бензин,автомат,1300000,200367.0,2012,1,0,0
42,Toyota Wish,бензин,вариатор,1940000,41000.0,2016,1,0,0
43,Toyota Corolla,бензин,механика,140000,200000.0,1991,1,0,0
44,Toyota Land Cruiser Prado,бензин,АКПП,8300000,14500.0,2021,1,0,0
45,Toyota Passo,бензин,вариатор,585000,100329.0,2014,1,0,0
46,Toyota Land Cruiser,дизель,АКПП,4300000,190000.0,1995,1,0,0
47,Toyota Hilux Surf,бензин,АКПП,2000000,301000.0,1999,1,0,0
48,Toyota Sprinter Carib,бензин,автомат,480000,122000.0,1992,1,0,0
49,Toyota RAV4,бензин,АКПП,150000,350000.0,1995,1,0,0
50,Toyota Prius,гибрид,вариатор,560000,267000.0,2008,1,0,0
51,Toyota Corolla,бензин,вариатор,1700000,135000.0,2020,1,0,0
52,Toyota Land Cruiser Prado,бензин,АКПП,1280000,355000.0,1997,1,0,0
53,Toyota Prius,гибрид,вариатор,1050000,202000.0,2014,1,0,0
54,Toyota Hiace,дизель,АКПП,290000,400000.0,1994,1,0,0
55,Toyota Corolla,бензин,вариатор,2800000,27000.0,2019,1,0,0
56,Toyota Vitz,бензин,АКПП,245000,250000.0,1999,1,0,0
57,Toyota Allion,бензин,АКПП,865000,288000.0,2007,1,0,0
58,Toyota Caldina,бензин,АКПП,375000,341000.0,1996,1,0,0
59,Toyota Alphard,гибрид,вариатор,3100000,192000.0,2015,1,0,0
60,Toyota Aqua,гибрид,вариатор,950000,90000.0,2015,1,0,0
61,Toyota Aqua,гибрид,вариатор,1200000,76000.0,2015,1,0,0
62,Toyota Harrier,бензин,АКПП,1000000,300000.0,1999,1,0,0
63,Toyota Camry,бензин,АКПП,3000000,82000.0,2019,1,0,0
64,Toyota Prius PHV,гибрид,вариатор,1850000,169000.0,2017,1,0,0
65,Toyota Allex,бензин,АКПП,460000,380000.0,2001,1,0,0
66,Toyota Ractis,бензин,вариатор,950000,95000.0,2013,1,0,0
67,Toyota Corolla Fielder,бензин,АКПП,600000,150000.0,2005,1,0,0
68,Toyota Town Ace,бензин,АКПП,600000,400000.0,2010,1,0,0
69,Toyota Corona,бензин,АКПП,260000,413754.0,1993,1,0,0
70,Toyota Prius,гибрид,вариатор,1100000,177000.0,2011,1,0,0
71,Toyota Chaser,бензин,механика,2300000,200000.0,1998,1,0,0
72,Toyota WiLL VS,бензин,АКПП,480000,250000.0,2003,1,0,0
73,Toyota Ractis,бензин,вариатор,800000,133360.0,2012,1,0,0
74,Toyota Land Cruiser,дизель,АКПП,5100000,218000.0,2014,1,0,0
75,Toyota Kluger V,бензин,АКПП,950000,247000.0,2001,1,0,0
76,Toyota Verossa,бензин,АКПП,800000,317827.0,2001,1,0,0
77,Toyota Prius,гибрид,вариатор,1750000,130000.0,2018,1,0,0
78,Toyota Celica,бензин,механика,595000,200000.0,2001,1,0,0
79,Toyota Land Cruiser Prado,бензин,АКПП,2950000,258710.0,2012,1,0,0
80,Toyota Harrier,бензин,АКПП,3750000,70000.0,2018,1,0,0
81,Toyota Venza,бензин,АКПП,1800000,170000.0,2013,1,0,0
82,Toyota Harrier,бензин,вариатор,3100000,60000.0,2020,1,0,0
83,Toyota Camry,бензин,АКПП,870000,228000.0,2004,1,0,0
84,Toyota Corolla Spacio,бензин,АКПП,400000,180000.0,1998,1,0,0
85,Toyota Land Cruiser Prado,бензин,АКПП,2150000,300000.0,2003,1,0,0
86,Toyota Fortuner,бензин,АКПП,2300000,190000.0,2012,1,0,0
87,Toyota Prius,гибрид,вариатор,1777777,93000.0,2017,1,0,0
88,Toyota Vitz,бензин,АКПП,565000,265000.0,2010,1,0,0
89,Toyota Land Cruiser,бензин,АКПП,1200000,621000.0,1997,1,0,0
90,Toyota Venza,бензин,АКПП,1600000,141500.0,2009,1,0,0
91,Toyota Gaia,бензин,АКПП,590000,174000.0,2001,1,0,0
92,Toyota Rush,бензин,АКПП,1050000,165000.0,2010,1,0,0
93,Toyota Harrier,бензин,АКПП,1050000,355000.0,2001,1,0,0
94,Toyota Raize,бензин,вариатор,1785000,42000.0,2019,1,0,0
95,Toyota Caldina,бензин,АКПП,355000,365000.0,1995,1,0,0
96,Toyota Probox,гибрид,вариатор,1420000,127000.0,2019,1,0,0
97,Toyota Camry,гибрид,вариатор,3200000,100000.0,2018,1,0,0
98,Toyota Harrier,гибрид,вариатор,4600000,61000.0,2020,1,0,0
99,Toyota Harrier,бензин,АКПП,1600000,175000.0,2007,1,0,0
100,Toyota Probox,бензин,АКПП,550000,303460.0,2003,1,0,0
101,Toyota Auris,бензин,вариатор,1100000,132000.0,2014,1,0,0
102,Toyota Prius,гибрид,вариатор,800000,140000.0,2011,1,0,0
103,Toyota Kluger V,бензин,АКПП,1000000,300000.0,2003,1,0,0
104,Toyota Prius,гибрид,вариатор,1550000,190000.0,2016,1,0,0
105,Toyota Land Cruiser,дизель,АКПП,2400000,199750.0,1997,1,0,0
106,Toyota Prius,гибрид,вариатор,700000,279147.0,2009,1,0,0
107,Toyota RAV4,бензин,вариатор,1800000,180000.0,2013,1,0,0
108,Toyota Belta,бензин,вариатор,440000,175000.0,2005,1,0,0
109,Toyota Corolla,бензин,механика,1200000,280000.0,2013,1,0,0
110,Toyota Sienta,бензин,вариатор,1650000,41982.0,2018,1,0,0
111,Toyota Carina,бензин,АКПП,255000,187.0,1992,1,0,0
112,Toyota Premio,бензин,АКПП,650000,225522.0,2006,1,0,0
113,Toyota Auris,бензин,вариатор,700000,287000.0,2006,1,0,0
114,Toyota Premio,бензин,вариатор,1050000,179000.0,2010,1,0,0
115,Toyota Corolla Fielder,бензин,вариатор,900000,180000.0,2012,1,0,0
116,Toyota Prius Alpha,гибрид,вариатор,1490000,218000.0,2015,1,0,0
117,Toyota Wish,бензин,вариатор,1250000,135000.0,2011,1,0,0
118,Toyota Aqua,гибрид,вариатор,950000,84000.0,2016,1,0,0
119,Toyota Progres,бензин,автомат,700000,360000.0,1994,1,0,0
120,Toyota Camry,гибрид,вариатор,1975000,150000.0,2015,1,0,0
121,Toyota Corolla Fielder,гибрид,вариатор,1040000,180000.0,2013,1,0,0
122,Toyota Allion,бензин,АКПП,660000,396000.0,2004,1,0,0
123,Toyota Harrier,бензин,АКПП,950000,280000.0,2001,1,0,0
124,Toyota Passo,бензин,вариатор,630000,95000.0,2014,1,0,0
125,Toyota Prius Alpha,гибрид,вариатор,1250000,213000.0,2014,1,0,0
126,Toyota Corolla Fielder,бензин,вариатор,1537000,93000.0,2021,1,0,0
127,Toyota Prius,гибрид,вариатор,830000,275000.0,2005,1,0,0
128,Toyota Fortuner,бензин,АКПП,2559000,150000.0,2013,1,0,0
129,Toyota Ipsum,бензин,автомат,500000,347600.0,1988,1,0,0
130,Toyota Camry,бензин,АКПП,795000,240000.0,2002,1,0,0
131,Toyota Alphard,бензин,вариатор,2500000,130000.0,2013,1,0,0
132,Toyota Land Cruiser Prado,дизель,АКПП,6359000,47000.0,2019,1,0,0
133,Toyota Vitz,бензин,вариатор,450000,291000.0,2010,1,0,0
134,Toyota C-HR,гибрид,вариатор,2450000,67740.0,2019,1,0,0
135,Toyota RAV4,бензин,вариатор,4000000,19054.0,2021,1,0,0
136,Toyota Harrier,бензин,вариатор,2790000,112000.0,2018,1,0,0
137,Toyota Sienta,бензин,вариатор,660000,133000.0,2010,1,0,0
138,Toyota Harrier,бензин,вариатор,2650000,71000.0,2018,1,0,0
139,Toyota Corolla,бензин,АКПП,140000,327041.0,1993,1,0,0
140,Toyota Aqua,гибрид,вариатор,850000,180000.0,2015,1,0,0
141,Toyota Town Ace,бензин,механика,220000,185000.0,2001,1,0,0
142,Toyota Mark II,бензин,АКПП,820000,330000.0,2004,1,0,0
143,Toyota Sprinter Trueno,бензин,механика,1500000,111111.0,1996,1,0,0
144,Toyota C-HR,гибрид,вариатор,2200000,107000.0,2019,1,0,0
145,Toyota Land Cruiser Prado,бензин,АКПП,2000000,355000.0,2004,1,0,0
146,Toyota Vitz,бензин,вариатор,950000,90000.0,2019,1,0,0
147,Toyota Corolla Fielder,гибрид,вариатор,1350000,228000.0,2017,1,0,0
148,Toyota Ractis,бензин,вариатор,620000,240000.0,2006,1,0,0
149,Toyota Vista,бензин,АКПП,430000,290000.0,1991,1,0,0
150,Toyota Raum,бензин,АКПП,445000,352000.0,2003,1,0,0
151,Toyota Mark II,бензин,АКПП,850000,172052.0,2001,1,0,0
152,Toyota Prius,гибрид,вариатор,1649000,105000.0,2017,1,0,0
153,Toyota Corona Premio,бензин,АКПП,370000,272000.0,1997,1,0,0
154,Toyota Vista,дизель,автомат,220000,200000.0,1991,1,0,0
155,Toyota C-HR,гибрид,вариатор,1670000,117000.0,2018,1,0,0
156,Toyota RAV4,бензин,АКПП,1290000,92800.0,2008,1,0,0
157,Toyota Noah,бензин,вариатор,2650000,38000.0,2020,1,0,0
158,Toyota Harrier,бензин,вариатор,2450000,140000.0,2017,1,0,0
159,Toyota Voltz,бензин,АКПП,650000,200000.0,2002,1,0,0
160,Toyota Prius,гибрид,вариатор,1450000,145000.0,2015,1,0,0
161,Toyota Camry,гибрид,вариатор,3050000,87000.0,2020,1,0,0
162,Toyota Tank,бензин,вариатор,820000,125000.0,2017,1,0,0
163,Toyota Corolla,бензин,АКПП,170000,351357.0,1992,1,0,0
164,Toyota C-HR,гибрид,вариатор,2150000,52000.0,2019,1,0,0
165,Toyota Prius,гибрид,вариатор,1700000,190000.0,2017,1,0,0
166,Toyota RAV4,бензин,АКПП,3950000,75000.0,2019,1,0,0
167,Toyota Premio,бензин,вариатор,1540000,61000.0,2012,1,0,0
168,Toyota Harrier,бензин,АКПП,1200000,221000.0,2003,1,0,0
169,Toyota Avensis,бензин,АКПП,700000,204000.0,2007,1,0,0
170,Toyota Land Cruiser Prado,бензин,АКПП,4280000,70000.0,2018,1,0,0
171,Toyota Corolla Axio,бензин,вариатор,670000,280000.0,2007,1,0,0
172,Toyota Crown,бензин,АКПП,130000,150000.0,1997,1,0,0
173,Toyota Aristo,бензин,АКПП,1400000,200000.0,1998,1,0,0
174,Toyota Prius,гибрид,вариатор,650000,240000.0,2008,1,0,0
175,Toyota Prius,гибрид,вариатор,1800000,136000.0,2017,1,0,0
